,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
cnm,0.03,-0.06,0.02,0.0,-0.0,0.0,0.01,0.01,0.01,0.03,-0.03,-0.01,0.02,-0.01,0.01,0.04,-0.02,-0.02,-0.08,0.01,-0.07,0.01,0.05,0.01,0.0,0.01,0.0,-0.05,-0.05,-0.04,0.04,0.13,-0.03,-0.08,0.01,0.01
cnst,0.79,0.64,0.52,0.71,0.58,0.8,0.8,0.85,0.73,0.79,0.52,0.79,0.79,0.76,0.87,0.85,0.48,0.77,0.9,0.74,0.89,0.79,0.62,0.86,0.71,0.71,0.79,0.66,0.84,0.9,0.9,0.93,0.79,0.48,0.86,0.77
cnsk,0.52,0.3,0.29,0.47,0.43,0.65,0.46,0.39,0.32,0.41,0.35,0.22,0.35,0.34,0.56,0.54,0.16,0.28,0.28,0.2,0.59,0.31,0.22,0.55,0.36,0.36,0.38,0.23,0.47,0.72,0.71,0.69,0.29,0.31,0.42,0.69
cnk,0.41,0.2,0.25,0.29,0.3,0.44,0.33,0.37,0.23,0.32,0.26,0.21,0.28,0.14,0.3,0.35,0.14,0.14,0.11,0.13,0.33,0.17,0.26,0.37,0.26,0.21,0.23,0.13,0.34,0.42,0.47,0.36,0.14,0.24,0.27,0.41
tnm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tnst,0.15,0.11,0.08,0.13,0.1,0.16,0.16,0.17,0.13,0.16,0.08,0.15,0.16,0.14,0.19,0.18,0.07,0.15,0.21,0.14,0.19,0.16,0.1,0.19,0.13,0.13,0.16,0.11,0.18,0.2,0.21,0.22,0.15,0.07,0.18,0.15
tnsk,0.08,0.04,0.04,0.06,0.06,0.12,0.07,0.05,0.05,0.06,0.05,0.03,0.05,0.04,0.08,0.09,0.03,0.04,0.03,0.03,0.09,0.04,0.03,0.09,0.05,0.05,0.05,0.04,0.07,0.14,0.13,0.12,0.04,0.04,0.05,0.09
tnk,0.05,0.03,0.02,0.02,0.03,0.07,0.05,0.04,0.03,0.05,0.04,0.03,0.04,0.02,0.03,0.05,0.02,0.03,0.01,0.01,0.03,0.02,0.03,0.06,0.04,0.03,0.02,0.03,0.04,0.06,0.06,0.04,0.02,0.04,0.01,0.03
bnm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bnst,0.16,-0.08,0.06,0.11,0.14,0.16,0.14,0.16,0.18,0.16,-0.1,0.14,0.14,-0.28,0.03,0.15,-0.01,0.1,-0.03,-0.21,-0.21,-0.21,0.03,-0.0,-0.14,-0.13,0.14,0.28,0.11,0.06,0.06,0.05,-0.22,-0.03,0.01,0.23
bnsk,-0.2,-0.16,-0.24,0.12,0.1,-0.08,-0.11,-0.23,-0.16,-0.11,0.05,-0.13,-0.16,0.13,0.05,-0.14,-0.22,-0.24,0.11,0.16,0.17,0.13,-0.24,-0.08,0.03,0.02,-0.04,-0.22,-0.02,-0.0,0.02,0.04,0.17,-0.14,0.1,0.36
bnk,0.75,0.51,0.97,-1.74,-1.27,0.35,0.27,0.94,0.07,0.22,0.31,0.07,0.25,-1.11,-0.99,0.25,0.85,0.68,-2.19,-1.52,-1.32,-1.37,0.81,0.05,-0.23,-0.25,-0.64,0.43,-0.56,-0.09,-0.48,-0.46,-1.51,0.44,-2.03,-2.62
rnm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rnst,0.5,0.6,0.62,0.58,0.65,0.51,0.5,0.47,0.52,0.51,0.67,0.49,0.49,0.7,0.48,0.47,0.65,0.49,0.43,0.64,0.57,0.61,0.57,0.45,0.61,0.58,0.5,0.59,0.47,0.43,0.43,0.4,0.63,0.63,0.48,0.6
rnsk,0.57,0.7,0.65,0.89,0.84,0.57,0.62,0.63,0.73,0.65,0.65,0.76,0.69,0.91,0.75,0.58,0.72,0.74,1.1,0.99,0.75,0.92,0.69,0.6,0.73,0.73,0.83,0.78,0.74,0.5,0.56,0.59,0.93,0.62,0.97,0.88
rnk,3.91,4.7,4.16,9.37,6.9,4.48,4.61,4.04,5.92,4.66,4.42,5.47,5.02,10.7,7.94,5.29,4.63,5.2,14.24,9.98,7.84,8.57,4.17,4.53,5.14,5.5,7.74,5.66,6.33,4.42,5.43,6.98,8.66,4.52,12.45,9.2
snm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
snst,0.55,0.65,0.56,0.71,0.65,0.68,0.61,0.51,0.53,0.59,0.68,0.56,0.57,0.85,0.77,0.58,0.58,0.59,0.71,0.78,0.81,0.81,0.53,0.65,0.75,0.71,0.56,0.51,0.6,0.65,0.66,0.69,0.82,0.51,0.72,0.63
snsk,0.44,0.54,0.38,0.93,0.87,0.66,0.55,0.44,0.62,0.56,0.51,0.6,0.57,0.86,0.84,0.57,0.45,0.56,1.07,0.9,0.85,0.89,0.42,0.61,0.68,0.66,0.84,0.6,0.79,0.61,0.72,0.76,0.87,0.41,1.03,1.03
snk,2.65,3.09,1.98,9.14,6.68,3.96,3.8,2.44,5.31,3.85,2.85,4.63,4.06,8.88,7.97,5.08,2.63,3.83,13.83,9.52,7.9,8.13,2.22,3.84,4.37,4.49,7.55,4.43,6.38,4.0,5.81,7.25,8.05,3.17,12.68,9.55
