,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
cnm,-0.01,0.0,0.02,-0.0,-0.01,0.03,0.01,-0.02,-0.0,0.01,0.03,-0.01,0.01,0.02,-0.01,0.02,-0.0,0.01,-0.01,-0.03,-0.01,0.0,-0.01,-0.01,0.01,-0.04,-0.0,-0.01,-0.02,0.02,0.02,0.01,-0.02,-0.0,0.01,-0.02
cnst,0.95,0.89,0.93,0.84,0.95,0.93,0.95,0.95,0.93,0.8,0.93,0.82,0.84,0.9,0.93,0.95,0.91,0.95,0.88,0.87,0.92,0.96,0.92,0.93,0.96,0.96,0.93,0.84,0.91,0.88,0.85,0.84,0.8,0.8,0.91,0.91
cnsk,0.59,0.35,0.47,0.54,0.63,0.53,0.54,0.5,0.51,0.45,0.46,0.48,0.48,0.53,0.49,0.65,0.51,0.6,0.53,0.35,0.38,0.67,0.34,0.44,0.66,0.6,0.31,0.42,0.6,0.38,0.55,0.51,0.24,0.01,0.6,0.53
cnk,0.73,0.4,0.58,0.46,0.67,0.69,0.71,0.73,0.66,0.62,0.66,0.43,0.49,0.6,0.43,0.61,0.37,0.66,0.21,0.33,0.42,0.74,0.53,0.49,0.74,0.68,0.38,0.38,0.67,0.69,0.47,0.58,0.32,0.4,0.59,0.55
tnm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tnst,0.22,0.18,0.21,0.17,0.22,0.21,0.22,0.22,0.21,0.13,0.22,0.16,0.17,0.2,0.22,0.22,0.21,0.23,0.19,0.19,0.21,0.23,0.2,0.21,0.22,0.22,0.22,0.15,0.21,0.19,0.16,0.16,0.16,0.16,0.21,0.21
tnsk,0.1,0.05,0.07,0.09,0.09,0.09,0.09,0.08,0.08,0.07,0.07,0.07,0.07,0.07,0.06,0.1,0.08,0.1,0.08,0.05,0.06,0.12,0.05,0.07,0.11,0.1,0.04,0.05,0.1,0.06,0.06,0.08,0.03,0.01,0.1,0.08
tnk,0.14,0.06,0.09,0.07,0.09,0.13,0.11,0.14,0.11,0.1,0.09,0.06,0.07,0.09,0.05,0.08,0.05,0.11,0.03,0.03,0.06,0.14,0.09,0.07,0.12,0.12,0.03,0.04,0.12,0.13,0.05,0.1,0.01,0.05,0.1,0.08
bnm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bnst,0.01,-0.26,-0.03,-0.14,-0.08,-0.01,0.01,0.01,-0.03,-0.09,-0.02,-0.13,-0.12,-0.05,-0.01,-0.08,-0.04,-0.07,0.07,0.05,0.01,0.06,-0.05,-0.08,0.05,0.03,-0.05,-0.02,0.0,-0.05,-0.03,-0.01,0.09,0.09,0.01,-0.07
